Residual 1,Seson
3.512400990873356,3.587849274636074
4.5151436132158445,3.4862474167074553
2.667450598539606,3.374643365241801
1.3924759240311637,3.25860445096034
2.831014351421633,3.1403280372530205
3.7500002261662715,3.0243909242906293
3.1620154140014307,2.8979908951728826
-0.5904994998724327,2.7664839857122443
3.0695355492733043,2.653162627373715
4.317964601478078,2.531522082909703
4.295963325682646,2.390880576537998
3.8016445516076196,2.2403758019704845
5.455587938514299,2.0857390683921255
4.085712757191846,1.9131433297927354
-1.4339838129009905,1.7202688239353885
0.8843084737153255,1.54406127905934
1.9417878779817883,1.3641660560960616
2.52635186723899,1.1783821385618471
0.7082160228928664,0.9880457843768152
1.3223883527603242,0.7916049256919752
1.7930793701007808,0.593652027940751
1.3148711374683266,0.39020107431659784
-0.4023743921779861,0.18591599120660138
-0.5904866145608096,-0.025327921799897592
-0.008159909320088587,-0.22841867038749292
2.949185589473238,-0.4243433254160191
0.20283896919039535,-0.6431837952483788
-0.8849483371551727,-0.8645037103093205
-1.8935964517717316,-1.079790497540885
-1.6492400392402118,-1.2912825279406053
-1.7299466715044467,-1.5029487724827664
-1.8968657336117865,-1.7117650025388156
-1.5260901102278552,-1.9164493302460923
-1.6406120333457537,-2.1117385592015294
-0.8008254262533434,-2.3089132737460316
-1.000185175953959,-2.5147173315952047
-2.750588860329092,-2.7350642854158504
-3.6992544051720273,-2.9530943614918295
-3.1094899298282996,-3.1670297417279873
-5.389937718154389,-3.3846703659794355
-3.61509039035165,-3.584471385558195
-4.006998999903203,-3.782530690439035
-6.115600313255591,-3.9763788573818823
-4.2299837295021625,-4.162468754599054
-7.218150673850509,-4.353765618963706
-5.172172997025061,-4.52910731157625
-7.436410585715468,-4.701248998615787
-6.251858238710675,-4.855088601354516
-6.3737543906780445,-5.003449771151216
-6.997406102346574,-5.147536463152159
-7.379347038041104,-5.280764126632651
-8.438085700615423,-5.4133809549034675
-5.529276085388936,-5.528891969941701
-6.167838608795336,-5.648576691401749
-5.806916917213339,-5.765763228448737
-6.2015630908028,-5.87539104509194
-6.470658142660689,-5.9837777117848425
-5.980114957186114,-6.082192614425164
-5.0256701931298124,-6.178844381246653
-2.9277233696161495,-6.275161949043408
-2.9374834948040025,-6.388357762485617
-5.059564532263675,-6.513813501214334
-5.555826744368414,-6.639352148276659
-6.421655669490221,-6.769490899272231
-6.289760172459623,-6.89625805548259
-6.158756684283151,-7.0209462751821246
-6.901924863183513,-7.14525012989588
-6.64488266274914,-7.268491389897254
-6.995059057379375,-7.390327163490625
-6.989186717300164,-7.509700772986184
-7.997929387648998,-7.630995134160809
