Original signal,1 mode
7.482,5.48275232647329
11.704,5.467236019389001
5.234,5.418957216975206
6.434,5.380373317849297
5.738,5.342365370588212
8.618,5.310185407442434
16.92,5.282801284047429
14.95,5.2187559056069
1.172,5.119656046192059
1.186,5.044749232075063
1.4,4.99028275932184
1.414,4.944353997696069
1.332,4.912243804021815
1.564,4.892049851863249
1.382,4.888823492231764
1.536,4.891238738942996
1.324,4.895972132709832
1.372,4.914256747215866
1.368,4.933406906565452
1.688,4.966539423595682
1.776,5.011305437124903
1.714,5.057295856730205
4.638,5.120550960912648
8.18,5.200801711638775
9.94,5.254299228752215
11.068,5.280192016431416
9.792,5.289844416146599
8.698,5.291709781876179
7.328,5.284784303088387
6.68,5.271411950584344
5.896,5.245712656964497
5.578,5.206507422967442
5.604,5.15736449870063
3.844,5.101049439650601
3.01,5.055137970098071
2.586,5.018981572478646
2.556,4.989934550279106
6.144,4.977533586906112
3.54,4.959202688558753
3.588,4.939942969899933
4.744,4.925513232618902
5.028,4.903918154251771
4.216,4.875425215302517
5.23,4.845804372485351
5.614,4.817127038377435
5.3,4.792507962806265
5.606,4.763244580914
5.622,4.732609369852685
12.604,4.70636555955937
12.324,4.643823587814071
6.268,4.553868537345455
6.522,4.469267800691333
6.594,4.379802372515037
6.088,4.290922952301053
6.068,4.2051974815214015
5.712,4.114770752162297
5.3,4.018501215433784
0.924,3.9199340222133636
0.924,3.8369290776848195
0.9,3.769356835167179
0.964,3.706049904526263
0.908,3.6497971034605685
1.008,3.6045913520524726
0.924,3.565606468870947
0.924,3.534216929053347
0.922,3.511128024502635
0.904,3.493283611305545
0.934,3.4700087086786553
1.854,3.4518109364836227
0.95,3.4505715023965084
0.99,3.4484692934974923
0.89,3.447993095593402
0.88,3.4559830863791254
0.898,3.4612423263750816
1.914,3.471421913527327
0.994,3.4803017325463066
0.994,3.4978149827439506
7.206,3.5299693056739456
5.89,3.5468549899372666
4.454,3.5638875634063965
8.33,3.5920728985208847
6.606,3.605662290564983
8.328,3.6232406251914084
12.024,3.6420554552439826
5.66,3.637934255472226
4.37,3.6364566844332273
4.762,3.6468756002178004
4.488,3.6620304372097863
4.712,3.6821405509795486
4.364,3.702856093745291
3.894,3.7326840200598723
3.516,3.761550469845204
3.608,3.778985936199442
3.496,3.794580626884479
3.066,3.801718408526147
1.788,3.7858671241820656
1.236,3.7729367769230993
4.944,3.769140607586364
5.822,3.754043730674189
2.226,3.727176290862249
2.094,3.70275915889669
2.11,3.674561744760516
2.152,3.6549774587667594
2.224,3.6239406669759076
2.194,3.5863351576758467
2.11,3.555359118398046
2.328,3.5158815572308177
2.208,3.4673887843417757
4.664,3.4199185889339283
2.216,3.3614918979801582
2.612,3.310311055761765
2.428,3.2678102972813297
2.454,3.2287701571960747
2.31,3.200640442728316
2.52,3.185669287835241
3.946,3.192977914384507
15.97,3.2165226561884546
8.014,3.1982703125662546
7.056,3.1864167103010983
7.384,3.1901519425311844
